,Name,Ranking,A_Type,B_Type,Date,Country
153,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['16.', 'Februar', '2020']",Deutschland
154,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['16.', 'Februar', '2020']",Griechenland
155,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['15.', 'Februar', '2020']",Deutschland
156,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['14.', 'Februar', '2020']",Dänemark
157,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['14.', 'Februar', '2020']",Deutschland
158,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['14.', 'Februar', '2020']",Dänemark
159,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['14.', 'Februar', '2020']",Deutschland
160,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['14.', 'Februar', '2020']",
161,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['13.', 'Februar', '2020']",Dänemark
162,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['13.', 'Februar', '2020']",Deutschland
163,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['13.', 'Februar', '2020']",Deutschland
164,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['13.', 'Februar', '2020']",
165,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['13.', 'Februar', '2020']",Dänemark
166,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['13.', 'Februar', '2020']",Deutschland
167,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'Februar', '2020']",Irland
